threshold,importance
PDA1,0.15187396648659623
PDB1,0.12894325998081105
LPD1,0.10467303338505184
KGD2,0.09212596132915717
PDX1,0.08969791821728562
IRC15,0.07128553329754361
MAE1,0.053455074410496864
PYC2,0.045968486225501065
PGI1,0.026249911929036904
NQM1,0.025350960971694137
TKL2,0.024955122497175113
TPI1,0.02432221672201386
GPM1,0.023278094326091642
FAS2,0.0
FAS1,0.0
HTD2,0.0
ETR1,0.0
OAR1,0.0
CEM1,0.0
LIP2,0.0
MCT1,0.0
MLS1,0.0
ACS1,0.0
DAL7,0.0
ACS2,0.0
LSC1,0.0
LAT1,0.0
LSC2,0.0
CIT1,0.0
CIT3,0.0
ACC1,0.0
HFA1,0.0
CIT2,0.0
ACH1,0.0
ICL1,0.0
LYS20,0.0
LYS21,0.0
PCK1,0.0
ACO2,0.0
SHM1,0.0
SHM2,0.0
ADE3,0.0
MIS1,0.0
GCV1,0.0
MTD1,0.0
MET12,0.0
CDC21,0.0
DFR1,0.0
MET13,0.0
YND1,0.0
ADE8,0.0
ADE12,0.0
GCV3,0.0
MET7,0.0
GUA1,0.0
ADE13,0.0
AMD1,0.0
HPT1,0.0
APT2,0.0
APT1,0.0
HAM1,0.0
GCV2,0.0
RMA1,0.0
FAU1,0.0
FMT1,0.0
FOL3,0.0
PKP1,0.0
PTC5,0.0
TAL1,0.0
TKL1,0.0
ZWF1,0.0
PGK1,0.0
FBA1,0.0
ENO2,0.0
CDC19,0.0
ENO1,0.0
PYK2,0.0
PFK1,0.0
ERR3,0.0
TDH1,0.0
TDH3,0.0
SDH2,0.0
SDH1,0.0
FAA3,0.0
SDH4,0.0
SDH3,0.0
YJL045W,0.0
SDH5,0.0
GDH2,0.0
IDH1,0.0
KGD1,0.0
AAT1,0.0
AAT2,0.0
GDH3,0.0
GDH1,0.0
IDH2,0.0
SHH3,0.0
FUM1,0.0
SHH4,0.0
PKP2,0.0
ILV2,0.0
HSP82,0.0
HSC82,0.0
AHA1,0.0
STI1,0.0
SBA1,0.0
HSP104,0.0
CPR6,0.0
FES1,0.0
PYC1,0.0
PTC6,0.0
YMR31,0.0
SIS1,0.0
BTN2,0.0
HSP78,0.0
HSP26,0.0
CUR1,0.0
YJL144W,0.0
MDH1,0.0
MBF1,0.0
ACO1,0.0
ICL2,0.0
CYT1,0.0
QCR2,0.0
SIP5,0.0
TDH2,0.0
MDH3,0.0
IDP3,0.0
ATP2,0.0
ATP15,0.0
ATP6,0.0
PDE1,0.0
PDE2,0.0
"ADE5,7",0.0
MCM4,0.0
MCM5,0.0
MCM3,0.0
MCM7,0.0
RAD51,0.0
SGS1,0.0
RAD52,0.0
ADE1,0.0
