threshold,importance
BAT1,0.23817060026330508
OAC1,0.16731948185902112
PDC6,0.06894417265661686
PDC1,0.0688624177939066
PDC5,0.06878656351788108
ARO9,0.06746204880310189
BDH1,0.05454049832372177
ARO10,0.024817211495614205
ARO80,0.024253331462477788
PGI1,0.015418883732380775
NQM1,0.01504887475794469
TKL2,0.01495470004350058
TKL1,0.014653959506158939
TPI1,0.014548990992902138
GPM1,0.014047997439803016
FBA1,0.014041755069014002
ZWF1,0.013916568263676639
TAL1,0.013789122191760435
PGK1,0.013711689366168851
ENO2,0.013423066302268541
CDC19,0.013285929100597157
ENO1,0.013060317689710268
PYK2,0.012666953118867853
PFK1,0.010971860943522867
ERR3,0.0
ERR1,0.0
ILV2,0.0
TDH3,0.0
ILV1,0.0
ILV6,0.0
ILV3,0.0
ILV5,0.0
CHA1,0.0
TRP5,0.0
HOM6,0.0
HOM2,0.0
HOM3,0.0
DSD1,0.0
HIS1,0.0
RPO21,0.0
RPO26,0.0
SPT15,0.0
RPB3,0.0
RPB5,0.0
RPB4,0.0
RPB2,0.0
HSP104,0.0
HSP78,0.0
BTN2,0.0
SIS1,0.0
HSP26,0.0
YJL144W,0.0
CUR1,0.0
ADH5,0.0
THI3,0.0
HSP82,0.0
HSC82,0.0
AHA1,0.0
STI1,0.0
SBA1,0.0
CPR6,0.0
FES1,0.0
