threshold,importance
BAT1,0.2613793321362192
OAC1,0.16196787060966386
PDC6,0.0665738870996529
PDC5,0.06579515222010537
PDC1,0.06545821506336179
ARO9,0.05462622966133314
BDH1,0.04933544677647141
ARO10,0.024270843782428476
ARO80,0.018765523119334236
PGI1,0.015999205703548486
NQM1,0.014932557610127638
TKL2,0.014830046186106269
TPI1,0.014417206687105517
TKL1,0.014367305709763401
TAL1,0.014081731434422122
FBA1,0.01356412773596199
GPM1,0.013483611042277013
ZWF1,0.013196083232617145
PGK1,0.01309800453442044
ENO2,0.012686715879256686
ENO1,0.012304768180763799
CDC19,0.012045340419748519
PYK2,0.011675625469293275
SHM1,0.0
SHM2,0.0
MIS1,0.0
GCV1,0.0
MET6,0.0
ADE3,0.0
CYS4,0.0
MET12,0.0
DFR1,0.0
SAM4,0.0
SAH1,0.0
STR3,0.0
MHT1,0.0
CYS3,0.0
CDC21,0.0
CHA1,0.0
MTD1,0.0
MET13,0.0
ILV1,0.0
YLL058W,0.0
IRC7,0.0
YML082W,0.0
STR2,0.0
THR1,0.0
THI3,0.0
PFK1,0.0
ERR3,0.0
TDH1,0.0
TDH3,0.0
TDH2,0.0
HSP82,0.0
HSC82,0.0
AHA1,0.0
STI1,0.0
SBA1,0.0
HSP104,0.0
CPR6,0.0
FES1,0.0
ERR1,0.0
ILV2,0.0
ILV6,0.0
ILV3,0.0
ILV5,0.0
TRP5,0.0
HOM6,0.0
HOM2,0.0
HOM3,0.0
DSD1,0.0
HIS1,0.0
RPO21,0.0
RPO26,0.0
SPT15,0.0
RPB3,0.0
RPB5,0.0
RPB4,0.0
RPB2,0.0
SIS1,0.0
BTN2,0.0
HSP78,0.0
HSP26,0.0
CUR1,0.0
YJL144W,0.0
ADH5,0.0
LEU1,0.0
MBF1,0.0
HIS4,0.0
HIS3,0.0
HIS7,0.0
LEU2,0.0
LYS2,0.0
HIS5,0.0
TRP1,0.0
HIS6,0.0
TYR1,0.0
ARO8,0.0
ADH3,0.0
URA3,0.0
URA4,0.0
URA6,0.0
URA5,0.0
URA1,0.0
PPR1,0.0
URA10,0.0
YND1,0.0
AMD1,0.0
APT1,0.0
APT2,0.0
HPT1,0.0
IDH2,0.0
IDH1,0.0
KGD1,0.0
ACO1,0.0
CIT1,0.0
FUM1,0.0
LSC1,0.0
MDH1,0.0
MDH3,0.0
ACS1,0.0
ACS2,0.0
MLS1,0.0
LAT1,0.0
DAL7,0.0
LYS20,0.0
LYS21,0.0
HFA1,0.0
ACC1,0.0
MDH2,0.0
ACH1,0.0
LEU4,0.0
LEU9,0.0
LSC2,0.0
CIT2,0.0
CIT3,0.0
MSC1,0.0
SOL4,0.0
GAD1,0.0
DCS2,0.0
