threshold,importance
IDH1,0.08641391896249877
IDH2,0.07881018517702042
GDH2,0.06503292605293824
MDH1,0.062427587196726364
MDH3,0.06197969790506539
GDH3,0.06112878915955025
GDH1,0.05984635487420241
AAT2,0.0567714516969678
AAT1,0.05582946059379132
IDP1,0.05250067384948179
FUM1,0.04867707963455238
MDH2,0.04829542894905652
IDP3,0.044529492643357274
GLT1,0.04167348288096712
ALT2,0.03209665672566068
NIT3,0.0
ALT1,0.0
UGA2,0.0
NIT1,0.0
RIP1,0.0
CYT1,0.0
QCR2,0.0
QCR9,0.0
QCR7,0.0
QCR8,0.0
COR1,0.0
COB,0.0
QCR6,0.0
KGD2,0.0
GLN1,0.0
SDH2,0.0
SDH1,0.0
SDH3,0.0
SDH4,0.0
YJL045W,0.0
SDH5,0.0
SHH4,0.0
SHH3,0.0
CIT3,0.0
ACO1,0.0
PGI1,0.0
NQM1,0.0
TAL1,0.0
TKL2,0.0
TKL1,0.0
TPI1,0.0
ZWF1,0.0
PYC2,0.0
PYC1,0.0
CIT1,0.0
PGK1,0.0
FBA1,0.0
GPM1,0.0
ENO2,0.0
LSC1,0.0
OSM1,0.0
COX6,0.0
COX12,0.0
COX2,0.0
COX4,0.0
COX13,0.0
COX1,0.0
TCM62,0.0
QCR10,0.0
ATP7,0.0
ATP16,0.0
ATP15,0.0
ATP18,0.0
ATP1,0.0
ATP2,0.0
ATP4,0.0
ATP6,0.0
PDA1,0.0
PDB1,0.0
LPD1,0.0
PDX1,0.0
AIM22,0.0
IRC15,0.0
MAE1,0.0
YMR31,0.0
CDC19,0.0
ENO1,0.0
PYK2,0.0
PTC5,0.0
YND1,0.0
AMD1,0.0
APT1,0.0
APT2,0.0
HPT1,0.0
ADE13,0.0
HAM1,0.0
ATP3,0.0
ADE12,0.0
HSP82,0.0
HSC82,0.0
AHA1,0.0
STI1,0.0
SBA1,0.0
CPR6,0.0
HSP104,0.0
FES1,0.0
SIS1,0.0
ACS1,0.0
LYS20,0.0
MLS1,0.0
ACS2,0.0
LAT1,0.0
DAL7,0.0
HFA1,0.0
ACH1,0.0
LYS21,0.0
ACC1,0.0
LSC2,0.0
ICL2,0.0
TOM40,0.0
TOM22,0.0
TOM70,0.0
TOM7,0.0
TOM20,0.0
TIM54,0.0
CDC48,0.0
TIM22,0.0
NPL4,0.0
TIM50,0.0
UFD1,0.0
TIM23,0.0
TIM44,0.0
TIM17,0.0
HSP60,0.0
UBX2,0.0
TOM5,0.0
CYB2,0.0
TOM6,0.0
SAM50,0.0
AAC1,0.0
SAM37,0.0
PAM16,0.0
PDH1,0.0
BI4,0.0
LEU4,0.0
LEU9,0.0
HRD1,0.0
SSM4,0.0
DER1,0.0
YOS9,0.0
ATP5,0.0
VMA4,0.0
VMA1,0.0
VMA7,0.0
VMA2,0.0
VMA8,0.0
VMA10,0.0
VMA6,0.0
CIT2,0.0
MGE1,0.0
SSC1,0.0
SSQ1,0.0
MDJ1,0.0
JAC1,0.0
TIM8,0.0
TIM13,0.0
TIM10,0.0
TIM9,0.0
