threshold,IDH2,IDH1,GDH2,IDP1,GDH3,RIP1,CYT1,QCR2,MRPS9,MRPS5,MRPS28,RPS8A,RPS8B,RPS13,GDH1,MRPS16,RPS20,MRP17,RSM10,RPS3,RPS5,RPL5,NOP7,YTM1,PWP2,SDH2,SDH1,SDH3,AAT2,AAT1,SDH4,YJL045W,PGI1,NQM1,TAL1,TKL2,TKL1,TPI1,RPF2,ASC1,MDH1,MDH3,QCR9,LSC1,ATP7,ATP15,ATP2,PDA1,PDB1,KGD2,LPD1,PDX1,CIT3,YND1,AMD1,APT1,RPO21,RPO26,RPB3,ATP3,ATP16,HSP82,HSC82,AHA1,SOL4,TFS1,PGM2,ACS1,LYS20,MLS1,ACO1,FUM1,CIT1,TOM40,TOM22,TOM70,CDC48,NPL4,UFD1,RPN10,RPT1,RPT2,ACS2,LAT1,ATP18,QCR8,ATP6,CIT2,ATP4,RPT5,TIM8,RPS15
800,0.1625938334914209,0.1625938334914209,0.157529982026452,0.15230496946316932,0.15178277400050677,0.04822793000327898,0.048118472297665985,0.0472139323141118,0.01614355526054749,0.0161299543835179,0.01609519700016634,0.007093471047723814,0.007093471047723814,0.007078624172294059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,0.16190566014245547,0.16190566014245547,0.15983199144233956,,0.15401315024674675,0.047511668000632126,0.04718995577068386,0.04651120233302266,0.01571269954085904,,0.01565900071370211,0.00670015422060325,0.00670015422060325,0.006685115340270868,0.15401315024674675,0.01566043763887886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,0.16202258782119872,0.16202258782119872,0.1599474215250916,,0.15412437798355622,0.0474772542428303,0.04715427908724041,0.04647404004591742,0.015602041482698704,,0.015548732796850246,0.006655706105482792,0.006655706105482792,0.006640750326148893,0.15412437798355622,0.015550136672746951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,0.16437614957185678,0.1571943747878629,0.15549448394695464,0.15379873332796487,0.1495007067912898,0.0494085491526997,0.049579463687785694,0.048582889408425985,0.016832749308735774,,0.016775061304856967,0.007226396963834447,0.007234969628191123,0.007218802454750345,,0.016776669664790796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,0.16308771005545503,0.15534217987312426,0.160999370393816,,0.1550859414232658,0.04735171393049938,0.047201350083828995,0.04655293775122605,0.016181710456278427,,0.01612617427176242,0.006947629418398019,0.006955587464544199,0.006954031539868596,0.1550859414232658,0.016127721914667072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,0.15939198684632583,0.15939198684632583,0.15699783430960448,0.15531106064121816,,0.048596247941079286,0.048684058037884156,0.04805473228644518,0.016975867404404522,,0.016917603525620308,0.0072879787022905144,0.007295727016876149,,0.15089155073162025,0.016919229093015964,0.007284136617289358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,0.16147510292381329,,0.1618573190727942,0.15979684915369916,0.15541060716703456,0.04591957934624867,0.04597696428901242,0.0453903321237841,0.01608068535191424,,0.016025536215040756,0.006879002457625852,0.006879002457625853,,0.15541060716703456,0.01602383323801675,0.006874579036355695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,0.1601573606687315,0.1601573606687315,0.15767874183515537,,0.15152348448975,0.0482139897140299,0.04871483331147971,0.04780626571331247,0.017341760521900576,,0.017282152582418105,0.0074416969296243005,0.007441696929624298,,0.15152348448975,0.017280263998565613,0.007436908146926639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,0.16079808061262582,0.16079808061262582,0.15771706125214272,,0.1515151310927047,0.04849763076733355,0.04874577810443775,0.04808663605253747,,,0.016880986506376663,0.00724448410219497,0.007244484102194968,0.007228120317755392,0.1515151310927047,0.016879144267428123,,0.016849251116937327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,0.16081584572373078,0.16081584572373078,0.1559434208177404,,0.15001454073793785,0.04995653718724283,0.0502288567558123,0.0495419120134139,,,0.017016747047412354,0.0072239324895085185,0.0072239324895085185,0.007207613330410292,0.15001454073793785,0.017011506954990523,,,0.016984767990623182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
