threshold,importance
ACS1,0.08213671768551586
MLS1,0.0752097506622682
ACS2,0.06901341630714432
DAL7,0.06074954898098417
ACH1,0.05996536412477432
ACC1,0.05916443779556251
HFA1,0.05852148851332719
LYS20,0.05333711340750413
LYS21,0.05293589263240599
LSC2,0.05265065185431321
CIT1,0.05151436573593369
CIT2,0.04747122835052362
LEU9,0.04627767466659148
PCK1,0.03631379965385256
ICL1,0.03586391806741753
NQM1,0.02257179304953201
PGI1,0.022450331602553414
TKL2,0.021428390797009516
SDH2,0.0
SDH1,0.0
SDH3,0.0
YJL045W,0.0
SDH4,0.0
LSC1,0.0
SHH4,0.0
FUM1,0.0
SHH3,0.0
CIT3,0.0
SDH5,0.0
ACO2,0.0
CYT1,0.0
QCR2,0.0
RIP1,0.0
QCR9,0.0
COR1,0.0
QCR8,0.0
QCR6,0.0
QCR7,0.0
PYC1,0.0
PYC2,0.0
AAT1,0.0
IDH2,0.0
IDH1,0.0
AAT2,0.0
KGD1,0.0
GDH1,0.0
GDH2,0.0
GDH3,0.0
IDP1,0.0
MDH3,0.0
MDH1,0.0
MDH2,0.0
IDP3,0.0
PGM2,0.0
SOL4,0.0
TKL1,0.0
TPI1,0.0
FBA1,0.0
GPM1,0.0
TFS1,0.0
GAD1,0.0
JEN1,0.0
DCS2,0.0
ENO2,0.0
ZWF1,0.0
PGK1,0.0
TAL1,0.0
ENO1,0.0
CDC19,0.0
HSP104,0.0
SIS1,0.0
HSP78,0.0
BTN2,0.0
YJL144W,0.0
HSP26,0.0
CUR1,0.0
HSP82,0.0
HSC82,0.0
AHA1,0.0
STI1,0.0
SBA1,0.0
CPR6,0.0
FES1,0.0
