threshold,ACS1,SDH2,MLS1,ACS2,SDH1,DAL7,SDH3,YJL045W,SDH4,CIT1,LSC1,SHH4,FUM1,SHH3,ACH1,ACC1,HFA1,LSC2,CIT3,CIT2,LYS20,LYS21,LEU9,SDH5,ICL1,PCK1,ACO2,CYT1,QCR2,RIP1,QCR9,COR1,QCR8,QCR6,QCR7,PYC1,PYC2,AAT1,IDH2,IDH1,AAT2,KGD1,GDH1,GDH2,GDH3,IDP1,MDH3,MDH1,MDH2,IDP3,PGI1,PGM2,SOL4,TKL1,NQM1,TPI1,TKL2,FBA1,GPM1,TFS1,GAD1,JEN1,DCS2,ENO2,ZWF1,PGK1,TAL1,ENO1,CDC19,HSP104,SIS1,HSP78,BTN2,YJL144W,HSP26,CUR1,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1
824,0.04900042589078527,0.048103734183414126,0.04713309969367701,0.045229215123739425,0.04509388065174208,0.04343640450989175,0.042929611638466335,0.042929611638466335,0.042929611638466335,0.03974447950151717,0.03970375098344077,0.039110358429913394,0.039110358429913394,0.039110358429913394,0.039029993566272354,0.03872797796480142,0.03872797796480142,0.03799463758397477,0.03569544227743093,0.035555938609520846,0.03542219482767304,0.03542219482767304,0.03411361366001792,0.03313528603415803,0.03260984194032941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,0.048678961070027914,0.048635459724039945,0.04682388537218238,0.044932491140867205,0.045592336093414045,0.043151442170559454,0.043404143841523274,0.043404143841523274,0.043404143841523274,0.03948373784985219,0.039443276529162866,0.03954267365103373,0.03954267365103373,0.03954267365103373,0.03877393926352185,0.038473905020160105,0.038473905020160105,0.03774537568188648,0.03546126413009921,0.03532267566896099,0.03518980930644328,0.03518980930644328,0.033889813019487854,0.033501554436796484,0.03239590671826339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,0.044451829003607675,0.05562743501395995,0.04275784240453561,0.041030691062339066,0.05214682307027527,0.039404302936239186,0.04964404992942762,0.04964404992942762,0.04964404992942763,0.03605509083893634,0.0360181430555612,0.04522744354185346,0.04522744354185346,0.04522744354185346,0.03540692899051132,0.03513294880301395,0.03513294880301395,0.03446768272384551,0.032381916431932445,0.03225536256880609,0.032134033914760406,0.032134033914760406,0.03094692532856982,0.03831783544092581,0.02958274528056281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,0.0631783557882783,,0.06076923788950984,0.058337186584049225,,0.05602580714964967,,,,0.05126158900173514,0.05120891619816019,,,,0.05003551707585801,0.049950813488350385,0.049950813488350385,0.049003002337405926,0.04605740925340758,0.04587700636366842,0.045683734129016114,0.045683734129016114,0.043994484896753026,,0.042033675483324824,0.03627312513629908,0.026088198795076643,0.018920483765002882,0.01858758332500465,0.018526321238154723,0.0182557604173633,0.018163119571819594,0.018115728686878666,0.01801839580786719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,0.06318328716562813,,0.06077398122351331,0.05834174008464264,,0.056030180235858325,,,,0.05126559021759086,0.05121291330264791,,,,0.05003942259084831,0.04995471239181452,0.04995471239181452,0.04900682725960886,0.0460610042577718,0.04588058728671139,0.04568729996622298,0.04568729996622298,0.04399791887985736,,0.04203695641573627,0.03627595642979305,0.026090235105629998,0.019074162500632444,0.018424073049734126,0.018546552645092234,0.018272407907218506,,0.018134857885863675,0.01803897589551443,0.0180283449440315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,0.06351644131331924,,0.06106968424598567,0.056148550326554844,,0.05630108843134296,,,,0.05144275777845519,0.051417082251191036,,,,0.05028394609653874,0.05043804752111914,0.05043804752111914,0.04948909958953051,0.046152646250273544,0.04597094500016967,0.046137269581590486,0.046137269581590486,0.04443389922650274,,0.03834143397780749,0.03622560956666474,0.026142791665169578,0.01928200813896487,0.018624024567064575,0.01874682390280881,0.018470857839242884,,0.01833123739869439,0.018234626723693328,0.018223811504606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,0.06158944011901861,,0.059450289051988,0.05492714526559813,,0.055334083423810444,,,,0.051361165966969866,0.045770378304641396,,,,0.044224021996460784,0.04730236583376501,0.044745051829324374,0.0406608710765185,0.047225386623472795,0.047054530055810596,0.04003283412811408,0.04003283412811408,0.04111535852880966,,0.0400093933905672,0.039026660918884834,0.02299474754386541,0.019780362627031974,0.019102476393525678,0.019212973779916803,0.018945631439793043,,0.018786209611010594,,,0.041720553701025974,0.03959523426196213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,0.04841572346758183,,0.04673412762393403,0.04317846486189606,,0.043498360696284884,,,,0.04037523321569387,0.03598029101615148,,,,0.034764693679099144,0.037184592994258414,0.035174277469072486,,0.03712407930634279,0.036989768224498766,,,,,,,,,,,,,,,,0.03279670649708543,,0.04513387486262507,0.043237923915787464,0.043237923915787464,0.04307912553314763,0.04305427445413407,0.04156473370756752,0.04156473370756752,0.04156473370756752,0.040128417388864336,0.03843029450197631,0.03843029450197631,0.03582056739126298,0.032536783359836646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,0.04952035653783483,,0.04764430958656685,0.043900702480879045,,0.04408432311272569,,,,0.04085677905864692,0.03839444271173132,,,,0.037341559507735426,0.03955907722834873,0.037638502356797304,0.0346565744684472,0.037192536677242226,0.037050486053338945,0.034001621637278684,0.03400162163727869,,,,,,,,,,,,,,,,0.04394118659099633,0.040860455896588765,0.040860455896588765,0.042049357367830394,0.040692772038092094,0.04073544542495907,0.04073544542495907,0.04073544542495907,0.03796966228757393,0.03778844029630032,0.03778844029630032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,0.05338694762822264,,0.05136441735304363,0.04732850625576992,,0.047526464140995754,,,,0.04404691073246493,0.041392313092494054,,,,0.040257219882342835,0.0426478832517511,0.040577348278820154,0.03736258895282754,0.04009656122390059,0.039943419167803196,0.03665649685371604,0.03665649685371604,,,,,,,,,,,,,,,,0.03964748651241507,0.03686778850853973,0.03686778850853973,0.037940516823421,0.03671648982878449,0.036754993398248725,0.036754993398248725,0.036754993398248725,0.03425946794381752,0.03409595400593388,0.03409595400593388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
