threshold,importance
PDA1,0.1090303433537062
PDB1,0.09805963241608799
KGD2,0.08110750809707247
PDX1,0.079855203177494
AIM22,0.07024747659971797
IRC15,0.05861515679151533
MAE1,0.04409173185545094
PYC1,0.042700926136135006
PYC2,0.04164191855725669
PTC5,0.023764380813525006
PGI1,0.02347531843559399
NQM1,0.022846693575934676
TKL2,0.02270055829974557
TKL1,0.022529493869242183
TPI1,0.02233158267193375
GPM1,0.02189414466170442
ZWF1,0.021804423271812645
TAL1,0.02180423771236234
PGK1,0.021736937164452935
FBA1,0.021575767101510077
ENO2,0.021420158416514613
ENO1,0.020935541396396466
CDC19,0.020347291763499604
PKP1,0.02021326058756717
PTC6,0.020149217582741092
PYK2,0.01932150800207888
PKP2,0.0
LSC1,0.0
YMR31,0.0
KGD1,0.0
HSP104,0.0
BTN2,0.0
SIS1,0.0
HSP78,0.0
YJL144W,0.0
CUR1,0.0
HSP26,0.0
MDH1,0.0
HSP82,0.0
HSC82,0.0
AHA1,0.0
STI1,0.0
SBA1,0.0
CPR6,0.0
FES1,0.0
MBF1,0.0
