threshold,importance
PDB1,0.1047953472358271
KGD2,0.08701958266261496
PDX1,0.08624773169824838
LPD1,0.07788367076779101
AIM22,0.07522362210240463
IRC15,0.06275141351627113
MAE1,0.04640330388994682
PYC1,0.04561542383916547
PYC2,0.04397537915958751
PTC5,0.025255366944916365
PGI1,0.023776627113059567
NQM1,0.02315953037333391
TKL2,0.023001470577689368
TKL1,0.02272056578103994
TPI1,0.022541158284169003
PTC6,0.022143991691328555
PKP1,0.022134968496013627
GPM1,0.02206488430691628
TAL1,0.022010290903067643
ZWF1,0.021985255055034802
PGK1,0.02193424894648826
FBA1,0.021740354319878887
ENO2,0.02158005146293288
ENO1,0.020944408087294718
CDC19,0.020499744920568684
PKP2,0.0
PYK2,0.0
LSC1,0.0
YMR31,0.0
KGD1,0.0
HSP104,0.0
HSP78,0.0
BTN2,0.0
SIS1,0.0
YJL144W,0.0
HSP26,0.0
CUR1,0.0
MDH1,0.0
HSP82,0.0
HSC82,0.0
AHA1,0.0
STI1,0.0
SBA1,0.0
CPR6,0.0
FES1,0.0
MBF1,0.0
