threshold,importance
PDB1,0.11934522168040447
PDX1,0.09339090563723493
KGD2,0.08845074528097811
LPD1,0.07810835558786298
IRC15,0.07341443087978979
AIM22,0.0682203450540193
MAE1,0.05963120708752187
PYC2,0.05271491581658783
PGI1,0.023995185123161938
PTC5,0.02312158220338653
NQM1,0.02287698779387213
TKL2,0.022593209697110053
TPI1,0.022263259571752594
PKP1,0.022120003021262314
TKL1,0.02185079624698936
TAL1,0.0214188885730423
GPM1,0.02117113780509233
PGK1,0.020625008613839816
ZWF1,0.02058585540149722
FBA1,0.020559313524544126
ENO2,0.019510754139292097
CDC19,0.019421485536054873
ENO1,0.018910341712798602
HSP82,0.0
HSC82,0.0
AHA1,0.0
STI1,0.0
SSE1,0.0
SBA1,0.0
HSP104,0.0
PYK2,0.0
FES1,0.0
PFK1,0.0
ERR3,0.0
TDH1,0.0
ERR1,0.0
TDH3,0.0
TDH2,0.0
MLS1,0.0
GPM2,0.0
PKP2,0.0
ILV2,0.0
CPR6,0.0
PYC1,0.0
PTC6,0.0
LSC1,0.0
YMR31,0.0
KGD1,0.0
HSP78,0.0
SIS1,0.0
BTN2,0.0
CUR1,0.0
HSP26,0.0
YJL144W,0.0
MDH1,0.0
MBF1,0.0
CIT3,0.0
IDH2,0.0
IDH1,0.0
ACO1,0.0
CIT1,0.0
FUM1,0.0
ICL2,0.0
NCE103,0.0
SIP5,0.0
CYT1,0.0
MDH3,0.0
IDP3,0.0
ATP2,0.0
ATP6,0.0
ATP15,0.0
ATP18,0.0
ATP16,0.0
ATP4,0.0
MDH2,0.0
CIT2,0.0
IDP1,0.0
TOM40,0.0
TOM22,0.0
TOM70,0.0
PTC7,0.0
ACS1,0.0
TIM8,0.0
TOM7,0.0
TIM54,0.0
TOM20,0.0
TIM22,0.0
