threshold,importance
PDA1,0.11506909162408727
KGD2,0.08589172158028906
PDX1,0.08469638045269517
LPD1,0.07662668971896745
AIM22,0.07416383337201443
IRC15,0.06177696498255476
MAE1,0.04553233386672008
PYC1,0.04482470702259886
PYC2,0.043368989120647974
PTC5,0.02484153223958891
PGI1,0.02376493594519453
NQM1,0.023129972387885892
TKL2,0.02296918546494574
TKL1,0.022716789973328853
TPI1,0.022529502468434617
GPM1,0.022061955685187404
TAL1,0.022001258836615863
ZWF1,0.021982635355241954
PGK1,0.02192565786129839
PKP1,0.021858520871322822
FBA1,0.021737499646216747
ENO2,0.021577247320764537
ENO1,0.021084221941612632
PTC6,0.020839643937360895
CDC19,0.020493269277185207
PKP2,0.0
PYK2,0.0
LSC1,0.0
YMR31,0.0
KGD1,0.0
HSP104,0.0
SIS1,0.0
BTN2,0.0
HSP78,0.0
YJL144W,0.0
HSP26,0.0
CUR1,0.0
MDH1,0.0
HSP82,0.0
HSC82,0.0
AHA1,0.0
STI1,0.0
SBA1,0.0
CPR6,0.0
FES1,0.0
MBF1,0.0
