threshold,importance
PDA1,0.10371882057070791
PDB1,0.09256352664247787
KGD2,0.07699298112635394
PDX1,0.07599343995847778
LPD1,0.06869983584818042
AIM22,0.06679165620975014
IRC15,0.05556854766839715
MAE1,0.04092765669339261
PYC1,0.04037010925649901
PYC2,0.039250375276945686
PGI1,0.02366666241528814
NQM1,0.0230095990108875
TKL2,0.0228833020638789
TKL1,0.022678677043299525
TPI1,0.022469583066493985
PTC5,0.022393833369987945
GPM1,0.02203756914304734
TAL1,0.021959177105217293
ZWF1,0.021951231232654272
PGK1,0.021867420789486523
FBA1,0.021726130010997796
ENO2,0.021559913923894596
ENO1,0.021055387372788448
CDC19,0.02045749449316178
PTC6,0.016965186095156636
PKP2,0.0
PYK2,0.0
PFK1,0.0
LSC1,0.0
YMR31,0.0
KGD1,0.0
HSP104,0.0
HSP78,0.0
BTN2,0.0
SIS1,0.0
HSP26,0.0
YJL144W,0.0
CUR1,0.0
MDH1,0.0
HSP82,0.0
HSC82,0.0
AHA1,0.0
STI1,0.0
SBA1,0.0
CPR6,0.0
FES1,0.0
