threshold,importance
PDA1,0.11425738522030711
PDB1,0.10474604416494021
PDX1,0.07812038978915299
KGD2,0.07792530921015715
LPD1,0.06864617129915292
IRC15,0.06214015557420943
AIM22,0.059819695079760545
MAE1,0.051270664427919256
PYC2,0.04679282503223206
PTC5,0.023909028915858995
PGI1,0.023669623086800214
NQM1,0.022676895191347593
TKL2,0.02240512849988432
TPI1,0.02196918332444298
GPM1,0.020859549079246635
TKL1,0.02021178911850725
TAL1,0.02005947776740724
ZWF1,0.019427753050840203
PGK1,0.019334844660641563
FBA1,0.019316925909790325
CDC19,0.018575085885125242
ENO2,0.018527389729209698
ENO1,0.018234069977341998
PTC6,0.0
UTH1,0.0
CDC42,0.0
HOG1,0.0
KSS1,0.0
STE11,0.0
BNI1,0.0
FUS3,0.0
BEM1,0.0
RHO1,0.0
CDC24,0.0
PBS2,0.0
CLA4,0.0
SHO1,0.0
BEM2,0.0
STE7,0.0
PTP2,0.0
RGA1,0.0
ACT1,0.0
RDI1,0.0
PTC1,0.0
STE5,0.0
RSR1,0.0
STE50,0.0
PTP3,0.0
SSK1,0.0
PYK2,0.0
PFK1,0.0
ERR3,0.0
TDH1,0.0
ERR1,0.0
TDH3,0.0
TDH2,0.0
MLS1,0.0
SLT2,0.0
GIC2,0.0
SPA2,0.0
STE20,0.0
PKP2,0.0
ILV2,0.0
HSP82,0.0
HSC82,0.0
AHA1,0.0
STI1,0.0
SBA1,0.0
HSP104,0.0
CPR6,0.0
FES1,0.0
PYC1,0.0
LSC1,0.0
YMR31,0.0
KGD1,0.0
SIS1,0.0
BTN2,0.0
HSP78,0.0
HSP26,0.0
CUR1,0.0
YJL144W,0.0
MDH1,0.0
CIT3,0.0
IDH1,0.0
IDH2,0.0
ACO1,0.0
FUM1,0.0
CIT1,0.0
ICL2,0.0
CYT1,0.0
QCR2,0.0
RIP1,0.0
MBF1,0.0
MDH3,0.0
IDP3,0.0
ATP18,0.0
ATP15,0.0
ATP6,0.0
ATP2,0.0
ATP16,0.0
MDH2,0.0
CIT2,0.0
IDP1,0.0
TOM40,0.0
TOM22,0.0
TOM70,0.0
PTC7,0.0
ACS1,0.0
TIM8,0.0
TOM7,0.0
TIM54,0.0
TOM20,0.0
TIM22,0.0
