threshold,importance
PDA1,0.13040592884374333
PDB1,0.11606177305505262
KGD2,0.10358590994729897
PDX1,0.08493750230294013
LPD1,0.06858984366205374
MAE1,0.06824837214606143
IRC15,0.06562902320910986
PYC1,0.060921789150834724
AIM22,0.05577465888536269
PGI1,0.02540519289903302
NQM1,0.024751940987886526
TKL2,0.024175707318017985
TPI1,0.022593920165759094
GPM1,0.01815395501725243
KGD1,0.0
IDH1,0.0
IDH2,0.0
GDH2,0.0
IDP1,0.0
GDH3,0.0
GDH1,0.0
AAT2,0.0
AAT1,0.0
MDH3,0.0
MDH1,0.0
MDH2,0.0
IDP3,0.0
NIT3,0.0
GLT1,0.0
ALT2,0.0
ALT1,0.0
FUM1,0.0
UGA2,0.0
NIT1,0.0
RIP1,0.0
CYT1,0.0
QCR2,0.0
PCK1,0.0
FDH1,0.0
ERT1,0.0
MLS1,0.0
ACS1,0.0
DAL7,0.0
ACS2,0.0
LAT1,0.0
CIT1,0.0
CIT3,0.0
CIT2,0.0
LSC1,0.0
ACC1,0.0
LSC2,0.0
HFA1,0.0
ICL1,0.0
ACH1,0.0
LYS20,0.0
LYS21,0.0
ACO2,0.0
QCR7,0.0
QCR9,0.0
QCR8,0.0
SDH2,0.0
SDH1,0.0
SDH3,0.0
SDH4,0.0
YJL045W,0.0
SDH5,0.0
SHH3,0.0
SHH4,0.0
LEU9,0.0
ILV2,0.0
HSP82,0.0
HSC82,0.0
AHA1,0.0
STI1,0.0
SBA1,0.0
HSP104,0.0
TAL1,0.0
PKP2,0.0
PKP1,0.0
CPR6,0.0
TKL1,0.0
FES1,0.0
PGK1,0.0
ZWF1,0.0
FBA1,0.0
ENO2,0.0
ENO1,0.0
CDC19,0.0
PFK1,0.0
ERR3,0.0
PYK2,0.0
PTC6,0.0
PTC5,0.0
ACO1,0.0
YMR31,0.0
SIS1,0.0
BTN2,0.0
HSP78,0.0
YJL144W,0.0
HSP26,0.0
CUR1,0.0
MBF1,0.0
ICL2,0.0
TDH3,0.0
TDH2,0.0
ATP2,0.0
ATP18,0.0
ATP6,0.0
ATP16,0.0
ATP15,0.0
ATP4,0.0
TOM40,0.0
TOM22,0.0
TOM70,0.0
PTC7,0.0
TIM8,0.0
TOM7,0.0
TIM54,0.0
TOM20,0.0
TIM22,0.0
