threshold,PDA1,PDB1,PDX1,KGD2,LPD1,AIM22,IRC15,MAE1,PYC1,PTC6,PKP1,PTC5,PGI1,NQM1,TAL1,TKL2,TKL1,ZWF1,TPI1,PGK1,GPM1,FBA1,ENO2,ENO1,CDC19,ACS1,MLS1,DAL7,LAT1,ACS2,CIT1,ACC1,CIT3,CIT2,LSC1,HFA1,ACH1,LEU9,LSC2,LYS21,LYS20,ICL1,PCK1,ACO2,CYT1,RIP1,QCR2,QCR9,QCR8,AAT1,IDH2,IDH1,AAT2,KGD1,GDH1,GDH2,GDH3,IDP1,MDH1,MDH3,MDH2,IDP3,PYK2,GLT1,FUM1,ALT2,ACO1,ALT1,NIT3,YMR31,HSP104,SIS1,HSP78,BTN2,YJL144W,HSP26,CUR1,HSP82,HSC82,AHA1,STI1,SBA1,CPR6,FES1,MBF1
824,0.10540558346939888,0.0948543428265394,0.07506785300669679,0.07506785300669679,0.06724391238284219,0.06724391238284219,0.05641702911323659,0.04755870279494134,0.04755870279494134,0.025743860353510006,0.02516899478271366,0.02516899478271366,0.023458580536757208,0.022876752151628574,0.022863795964911976,0.022791553404833617,0.02271272859206414,0.02265832286101115,0.022234835660184412,0.02206126220735653,0.021747451232768507,0.021434316559537446,0.021282703829413184,0.021282703829413184,0.02009525147304711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,0.10590175119168842,0.09530084349263723,0.07542121422739828,0.07542121422739828,0.0675604445602341,0.0675604445602341,0.05668259672277015,0.047782572275704316,0.047782572275704316,0.025865042478157605,0.025287470886185756,0.025287470886185756,0.023154893272004245,0.022770286596107147,0.02257168186408661,0.022685581041030592,0.0224227207391614,0.022368551560807422,0.02194567791721943,0.021760838569084184,0.021464376590880352,0.021155789796899152,0.021005587388537143,0.021005587388537143,0.01983478949134676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,0.10679152486320233,0.097465034373164,0.07712724818151163,0.07712724818151163,0.06907274899109642,0.06907274899109642,0.05791461970546182,0.04874491670830629,0.04874491670830629,0.021724212249168554,0.021157278462663968,0.024178609046786165,0.02298927249908819,0.022611717230921553,0.022447049774055525,0.022531041011869313,0.022304554837669126,0.02164878018680172,0.021835845490452976,0.021613039570491214,0.020773032529626388,0.02108892894123852,0.020908409319751464,0.02030957028696596,0.01981765185879263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,0.11120585050176682,0.10149384097226592,0.08031537373282015,0.08031537373282015,0.07192793443009178,0.07192793443009178,0.06030857363524249,0.05075983255346163,0.05075983255346163,0.022622202489798272,0.022031833975188233,0.025178054030428613,0.020712183762029723,0.019634819410624015,0.019786053274805735,0.019752308725188433,0.01967185957819188,0.019685722330160547,0.01928853564858075,0.019108791463774998,0.0192129926348932,0.018964874562212138,0.01879870958475675,0.01879870958475675,0.017737802402587637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,0.10782942557605701,0.09841229145919114,0.07787684348854236,0.07787684348854236,0.06974406308187775,0.06974406308187774,0.058477488576882154,0.049218665761561226,0.049218665761561226,0.021935348623599967,0.021362904840099756,0.02441359956309952,0.022423956576607364,0.02183060744220465,0.021842845596194902,0.0219268234169459,0.02170565247453053,0.02111124906706553,0.021444672415422868,0.021042667513034363,0.020425725375286436,0.020567260940730036,0.02042362312599651,0.019838552610002853,0.019306160143085695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,0.10869612181452051,0.09683909213115509,0.076643499497988,0.076643499497988,0.06866669777128251,0.06866669777128251,0.057636926338303175,0.0486412110173031,0.0486412110173031,0.02194861795948605,0.021382287875168784,0.024419951250507513,0.022990483608221066,0.022377611402948118,0.022392832064097198,0.02247601532094825,0.022252636406608406,0.021644489705499093,0.02216291510463938,0.02157610017975658,0.021138667157359556,0.021090917100005005,0.020944088094954513,0.020345596284988814,0.01978183362768551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,,,,,,,,,0.04103150429601307,,,,,,,,,,,,,,,,,0.06057223964336807,0.05846841842312072,0.054420195330825406,0.05401997809242165,0.05401997809242165,0.05051289388736324,0.04652112819087493,0.046445420355824545,0.046277385625502605,0.04501444270119678,0.044006050339526086,0.04349362574471619,0.04043630442194934,0.03998932320533356,0.039371658805882476,0.039371658805882476,0.039348605211477934,0.03838210337828976,0.02261497029481293,0.019750321108653733,0.01918379398600741,0.019073464418039362,0.018916857673314767,0.018757677967181415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,,,,,,,,,,,,,,,,,,,,,,,,,,0.04753957437017142,0.04588840931584369,0.04271119804057446,0.0423970911612294,0.0423970911612294,0.039644587846667176,0.03651168664780449,0.03645226803829008,0.03632038750017652,0.03532917817014653,0.03453775054663112,0.03413557873859666,,,,,,,,,,,,,0.04499290346677138,0.043102874343669474,0.043102874343669474,0.04294457195278147,0.04291979849376634,0.04143491018705488,0.04143491018705488,0.04143491018705488,0.04000308006673265,0.038310261106317245,0.038310261106317245,0.035708685231781036,0.03243515778966821,,,,,,,,,,,,,,,,,,,,,,,
832,0.10870898205159976,0.09580168725031286,0.08397537965390074,0.08397537965390074,0.07501148510927776,0.07501148510927774,0.06243705780386723,0.0411873148121535,,0.023217262948718093,0.0225647946751494,0.025898065941888395,0.02313830501886584,0.022563957743184402,0.022518496570496597,0.022435449119258308,0.022378944979329463,0.021813107634243847,0.022299953193947397,0.02166848387335006,0.0212701343389404,0.021253296103941798,0.021071273372174838,0.020467254148102937,0.019897549971965807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019434898922151965,,,,,,,,,,,,,,,,,,,,,,
833,0.10728543386078701,0.094547160568265,0.08287571891269002,0.08287571891269002,0.07402920690280163,0.07402920690280163,0.06161944219383255,0.0406479653823387,,0.022913232020983127,0.022269307843889922,0.025558929798569288,0.024004027047761403,0.02307021049024367,0.022894927188784463,0.02292873780508971,0.022785037176634732,0.022855235370120703,0.022325872453838793,0.022064120267338713,0.02224301645548091,0.02199239966222677,0.02183401775942628,0.021834017759426283,0.020513564309917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020003492954061675,,,,,,,,,,,,,,,,,,,,,,
