,threshold,PDB1,IRC15,PDX1,HSP82,HSC82,PGI1,TAL1,TKL1,AHA1,SOL4,GAD1,PGM2,AIM22,MAE1,MLS1,ACS1,ACS2,RPS3,RPS5,RPL5,KGD2,LPD1,NQM1,RPS8A,RPS8B,RPS13,NOP7,YTM1,PWP2,LSC1,TPI1,ASC1,RPF2,TKL2,MDH1,PYC1,TFS1,IDH1,KGD1,ACO1,TOM40,TOM22,TOM70,RPN10,RPT5,RPT2
0,801,0.2624809748438767,0.2624809748438767,0.2624809748438767,0.028555278439009627,0.027977091741218717,0.0263723082430348,0.0256602182624153,0.025501748493212822,0.02548443071068427,0.017779825377461044,0.01774349101353426,0.017482683187799043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,811,0.2169891988623902,0.1623479989963825,0.1943832571802035,,,0.028057260734940095,0.02679785315951005,0.026647443805421243,,,,,0.1623479989963825,0.11456208542702406,0.02044202994349072,0.019961205635407802,0.018949819778307633,0.0028437447734753524,0.0028393988586110437,0.0028307038484532967,,,,,,,,,,,,,,,,,,,,,,,,,,
2,821,0.18559370734447087,0.11809859091683267,0.13613748043503254,0.04393567612197731,0.042695358471151655,0.03628563557694011,0.035313191386997504,0.03509336011989631,0.03850639817648001,0.024931841342733355,0.024572658544000398,0.02460003021162205,0.11809859091683267,,,,,,,,0.13613748043503254,,,,,,,,,,,,,,,,,,,,,,,,,
3,831,0.18810044187477937,,0.17783334920100954,,,0.038811976404026095,0.03777209714075034,,,,,,0.15851936908146072,,,,,,,,0.17783334920100954,0.15851936908146078,0.037835945569187214,0.005169374889449211,0.005167384049478976,0.005152989737888497,0.0031347052820344156,0.0030908855492481533,0.0030587629382170423,,,,,,,,,,,,,,,,,
4,841,0.18611967977301555,,0.17487643307206469,,,0.043395460640880006,,,,,,,,,,,,,,,0.17487643307206469,0.1595565926260791,0.04139567420627346,0.0053696602941244575,0.005378288770737817,,0.0034634570674840406,0.0034388634262193752,,0.15218767559253704,0.041187621301386174,0.005359207297182764,0.0033949528599507657,,,,,,,,,,,,,
5,851,0.200731395095523,,0.15890897390548872,,,0.049880116280275145,,,,,,,0.14262775208910283,,,,,,,,0.16575534411563841,0.14947412229925255,0.049786225266539724,0.006629803567254493,0.006629803567254493,,0.004560254966778941,0.004487385577063167,,,,0.006616653207351169,0.004447760751295619,0.04946440931118171,,,,,,,,,,,,
6,861,0.20375031737301272,,,,,0.05299987191306659,,,,,,,,,,,,,,,0.16239689669648388,0.149247940188883,0.05319068744155953,0.007284971535077249,0.007284971535077249,,0.005073696933837544,0.004998243338659268,,,,0.007274882865795415,0.004920743709087793,0.05283888958988082,0.16140307408767549,0.12733481279190356,,,,,,,,,,
7,871,0.17783882599916837,0.10441248028569419,0.1218994662971877,0.0463587295753315,0.04524144806753509,0.036970415013740945,,,0.042629222504433656,0.030909564854488213,0.030898821893973704,,,,,,,,,,0.13687787860045494,0.1218994662971877,0.036492002676758895,,,,,,,,,,,0.036346373340140486,,,0.03122530459390447,,,,,,,,,
8,881,0.18603140815072933,0.10999528743151758,0.12848603983578355,0.04174324617850904,0.04072083574156466,0.03379401766292029,,,0.03833800799269937,0.027953187735243405,0.028204115128349933,,,,,,,,,,0.144315751067379,0.12848603983578355,0.03162921759232022,,,,,,,,,,,0.03228881971844839,,,0.028014025928751813,,,,,,,,,
9,891,0.15806882891558552,0.11450906832947656,0.13281243579792307,,,,,,,,,,,,,,,,,,0.13281243579792307,0.11450906832947656,,,,,,,,,,,,,,,,0.07623043107595591,0.07623043107595591,0.07373972719511174,0.030015797199523596,0.028472676287959978,0.026591769757481,0.012048572629794422,0.012026309525105824,0.01193244808272687
