,threshold,YLR255C,YKL031W,BRP1,URA3,NAB2,ACT1,PGK1,RPA190,YCR013C,YBL071C,YPR136C,YLR163W-A,YKL165C-A,YMR173W-A,YHR056W-A,YPL025C,YAL016C-B,YIL054W,PUF3,YLR339C,Q0010,Q0032,Q0297,UTR5,NOP1,RPA135,Q0182,Q0142,RPS3,MRT4,Q0143,YHR214C-E,YAL059C-A,YDL247W-A,ARX1,ISW1,CDC6,POL1,YGL165C,YDL011C,YNL043C,RPS5,YGL052W,PRM8,MST27,YGL024W,YHL002C-A,THI12,YLR154W-B,YAL064W-B,YPL142C,YHR063W-A,YDL228C,TTI1,YMR242W-A,YER175W-A,CAB1,YML116W-A,NAB6,YBL094C,YKL118W,UCC1,AIM26,YOR345C,YGL182C,ARL3,YPR053C,YGR242W,YER066C-A,MOH1,YKR041W,YKR040C,RPL3,YDR274C,YGL039W,YHR130C,CET1,ESL2,YIL024C,RLP7,YLR123C,YBR131C-A,YLL066W-B,YRF1-8,YOR394C-A,YLR466C-A,YIR040C,YDR215C,YPR027C,YHR214C-D,YPL278C,YDR543C,YBL109W,YHR217C,ERC1,YHR032W-A,TPI1,MDH2,PGI1,ZWF1,MDH1,IMP3,ARF1,YPT31,HHT1,HHT2,MRPS16,MRPS5,CDC42,NSA2,CDC19,OXA1,COX18,RPL5,ASC1,RPS16B,RHO1,RPS16A,BNI1,RPS13,FUM1,CYT1,RPS2,PWP2,YTM1,PUF6,RIP1,COX6,MRPL4,NOP7,RPS20,QCR2,QCR7,ACO1,PGM2,GLK1,HXK1,SOL4,ATP1,NQM1,COX4,ALD3,CIT3,CIT1,CIT2,IDH1,KGD1,QCR9,ATP16,MRPS9,QCR6,MRPL9,RPS8B,LSC1,ATP4,RSM23,RSM10,RPS8A,PDB1,VMA8,VMA10,IRC15,PDX1,HSP82,HSC82,TAL1,SSE1,GAD1,MSC1,AHA1,TKL1,AIM22,MAE1,MLS1,ACS1,ACS2,KGD2,LPD1,RPF2,TKL2,HSP104,SIS1,BTN2,TFS1,IDH2,MRPS28,MRP17,TOM40,TOM22,TOM70,RPN10,RPT5,RPT2,RPT1
0,100,0.13446677588825443,0.12070919109359494,0.11955410105769369,0.11197635296476183,0.1081781439174841,0.10482503653823869,0.10082136774026566,0.09700433622433387,0.03550373372837481,0.033823700296540894,0.033137260550457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,110,0.13446677588825443,0.12070919109359492,0.11955410105769369,0.11197635296476184,0.10817814391748412,0.10482503653823871,0.10082136774026569,0.0970043362243339,0.03550373372837482,0.03382370029654091,,0.03313726055045701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,120,0.13446677588825443,0.12070919109359492,0.11955410105769369,0.11197635296476183,0.1081781439174841,0.10482503653823869,0.10082136774026566,0.09700433622433387,0.035503733728374814,0.0338237002965409,,,0.033137260550456994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,130,0.13446677588825445,0.12070919109359494,0.1195541010576937,0.11197635296476184,0.10817814391748412,0.10482503653823871,0.10082136774026569,0.0970043362243339,0.0355037337283748,0.033823700296540894,,,,0.033137260550457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,140,0.13446677588825445,0.12070919109359494,0.1195541010576937,0.11197635296476184,0.10817814391748412,0.10482503653823871,0.10082136774026569,0.0970043362243339,0.0355037337283748,0.03382370029654089,,,0.033137260550456994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,150,0.13446677588825443,0.12070919109359492,0.11955410105769369,0.11197635296476183,0.1081781439174841,0.10482503653823869,0.10082136774026566,0.09700433622433387,0.035503733728374814,0.03382370029654091,,,,,0.033137260550457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,160,0.14928580397765806,,0.1394436639228369,0.09703029012724561,0.09811208000810769,0.09097740385309028,0.08814084624007769,0.08805559090377343,0.03891555782515217,0.03705896300914497,,,,,,0.13654373997136385,0.036436060161549294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,170,0.13965495829365007,0.12084591183609483,,0.08483537926745369,0.09208972373770534,0.0823727019175458,,0.08272206296582495,0.06656565998995252,0.06251182990063583,,,,,,,,0.12292895551388458,0.08346011830071284,0.06201269827653952,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,180,0.152825802834527,,0.19240970787592399,,0.09136195000037364,,,0.08051375631473363,0.03482900574608389,0.033446846756595816,,0.033271595149693724,,,,,,,0.08315303419603676,,0.0,,,0.13847441186550652,0.07988741132867581,0.07982647793184926,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,190,0.13927285493253316,,0.20011881508917692,,0.0928096774550112,,,,0.034825761252114125,0.03343189080777492,,,,,0.03325345298202812,0.1334302721007707,,,0.08537990653289206,,0.0,0.0,,,0.08294373784859997,0.0825173473799011,,0.0,0.08201628361919772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
