,threshold,PDB1,PDX1,IRC15,AIM22,MAE1,PKP1,PTC5,KGD2,PKP2,HUL4,LPD1,PTC6,UTH1,SIP5,NCE103,PYC1,PYC2,YMR31,PTC7
0,800,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,
1,810,0.2142088507826567,0.1918925658524012,0.16026778509806572,0.16026778509806572,0.11309416685827867,0.08013442315526606,0.08013442315526606,,,,,,,,,,,,
2,820,0.1837793418297892,0.17080187294048216,0.14622644579245986,0.14622644579245986,0.07721714696450031,0.04365432097482403,,0.17080187294048216,0.04365432097482403,0.017638231790178312,,,,,,,,,
3,830,0.14895220503553971,0.14082194187496552,0.10384744077314802,0.1255276666561198,0.055203961939669796,0.036798620196304255,0.04238493617286336,0.14082194187496552,0.03038441056058951,0.005247846723574314,0.1255276666561198,0.037930167208145696,0.006551194327994747,,,,,,
4,840,0.15112686868229605,0.14287997610525185,0.10535097934438124,0.1273578949795885,0.05597285134473395,0.03724250637210547,0.04272979896837497,0.14287997610525188,0.02985874402131545,,0.1273578949795885,0.03724250637210547,,1.362503271810722e-09,1.362503271810722e-09,,,,
5,850,0.13352192446003394,0.10570260820303241,0.07910047511268856,0.09487271251855302,0.06652225573187019,0.028867988266427693,0.03282041113573249,0.11025665678915428,0.02366159399178395,,0.09942676110467487,0.028867988266427693,,0.01322511297834293,0.01322511297834293,0.07014370355077422,0.06652225573187019,0.03326243918029056,
6,860,0.1356877721628311,0.09409368844357402,0.08023067917825079,0.08102608351004792,0.07062276442814515,0.0305211047535759,0.03479599744810551,0.1102146264546461,0.024853645642517297,,0.09897730033805763,0.0305211047535759,,0.014533167321183203,0.014533167321183203,0.07469397897707973,0.07062276442814515,0.03407215483908147,
7,870,0.15393643794706363,0.10551559550626455,0.09037894397971864,0.09037894397971864,0.0807360848418518,0.027082730593380858,,0.11848083761868274,0.027082730593380858,,0.10551559550626452,,,0.017237155403403332,0.017237155403403332,0.0856817037850154,0.0807360848418518,,
8,880,0.1599718584634687,0.1104875288719411,0.09458698790467819,0.09458698790467819,0.08308674045532376,0.028259547720345665,,0.12409979117663003,0.028259547720345665,,0.11048752887194109,,,,,0.08308674045532376,0.08308674045532376,,
9,890,0.16567897773306434,0.13920662754444263,0.12002205312803887,,0.08280768252752074,0.035532458989382294,0.04818956373829652,0.13920662754444263,,,0.12002205312803887,0.04818956373829652,,,,,0.08280768252752074,,0.018336709400955928
10,900,0.21980343468380106,0.17036979046239148,0.13160380116879314,,0.1299928368345323,0.0478675095535583,,0.17036979046239148,,,,,,,,,0.1299928368345323,,
