threshold,importance
GDH1,0.06362084349787796
AAT1,0.06335678735910384
GDH2,0.06283602513820408
GDH3,0.06212724288982742
AAT2,0.060602177644552564
IDH2,0.05717200219651324
IDH1,0.05536370220521378
MDH3,0.05499584016745712
MDH1,0.05392394689925088
MDH2,0.04985698026756996
IDP1,0.044794888080795715
FUM1,0.04472509380972903
GLT1,0.04403872824773694
IDP3,0.03830383648748671
ALT2,0.031079209579230323
ALT1,0.030341534300697984
PGI1,0.024909481051177896
NQM1,0.024330306928652
TKL2,0.024123378673687093
TKL1,0.02357145364494079
TPI1,0.023177959044476868
SDH2,0.0
SDH1,0.0
SDH4,0.0
YJL045W,0.0
SDH3,0.0
SHH4,0.0
SHH3,0.0
SDH5,0.0
NIT3,0.0
GLN1,0.0
CYT1,0.0
QCR2,0.0
RIP1,0.0
QCR9,0.0
COR1,0.0
QCR8,0.0
QCR6,0.0
QCR7,0.0
ACO1,0.0
TAL1,0.0
ZWF1,0.0
PYC2,0.0
PYC1,0.0
CIT3,0.0
CIT1,0.0
PGK1,0.0
FBA1,0.0
GPM1,0.0
ENO2,0.0
LSC1,0.0
OSM1,0.0
COX6,0.0
COX12,0.0
COX2,0.0
COB,0.0
COX4,0.0
COX13,0.0
COX1,0.0
TCM62,0.0
QCR10,0.0
ATP7,0.0
ATP15,0.0
ATP18,0.0
ATP16,0.0
ATP4,0.0
ATP6,0.0
ATP3,0.0
ATP1,0.0
PDA1,0.0
PDB1,0.0
KGD2,0.0
LPD1,0.0
PDX1,0.0
AIM22,0.0
IRC15,0.0
MAE1,0.0
YMR31,0.0
CDC19,0.0
ENO1,0.0
PYK2,0.0
PTC5,0.0
YND1,0.0
AMD1,0.0
APT2,0.0
APT1,0.0
HPT1,0.0
ADE13,0.0
HAM1,0.0
ATP2,0.0
ADE12,0.0
HSP82,0.0
HSC82,0.0
AHA1,0.0
STI1,0.0
SBA1,0.0
CPR6,0.0
HSP104,0.0
FES1,0.0
SIS1,0.0
ACS1,0.0
LYS20,0.0
MLS1,0.0
ACS2,0.0
LAT1,0.0
DAL7,0.0
HFA1,0.0
ACH1,0.0
LYS21,0.0
ACC1,0.0
LSC2,0.0
