threshold,importance
ACS1,0.08322886098365558
MLS1,0.0809191885923098
ACS2,0.0723721179586561
DAL7,0.06838812292997004
HFA1,0.06004788340048288
ACC1,0.05929750699040882
ACH1,0.057986202565827656
LYS21,0.054051935698215064
LYS20,0.053685533222763086
LSC2,0.049387730467520694
CIT1,0.04658360981697879
LEU9,0.04597658828614812
CIT2,0.04329537156562913
CIT3,0.04024425291643153
ICL1,0.03475182287173156
PCK1,0.03035247479392921
LSC1,0.0
ACO2,0.0
RIP1,0.0
CYT1,0.0
QCR2,0.0
QCR9,0.0
QCR7,0.0
QCR8,0.0
COB,0.0
COR1,0.0
ADY2,0.0
PYC1,0.0
PYC2,0.0
MAE1,0.0
IDH1,0.0
IDH2,0.0
KGD1,0.0
GDH2,0.0
IDP1,0.0
GDH3,0.0
GDH1,0.0
AAT1,0.0
AAT2,0.0
MDH1,0.0
MDH3,0.0
MDH2,0.0
IDP3,0.0
SDH2,0.0
SDH1,0.0
SDH3,0.0
SDH4,0.0
YJL045W,0.0
SDH5,0.0
SHH4,0.0
SHH3,0.0
FUM1,0.0
KGD2,0.0
UGA2,0.0
QCR6,0.0
PGI1,0.0
PGM2,0.0
SOL4,0.0
TKL1,0.0
NQM1,0.0
TPI1,0.0
TKL2,0.0
FBA1,0.0
GPM1,0.0
TFS1,0.0
GAD1,0.0
JEN1,0.0
DCS2,0.0
ENO2,0.0
ZWF1,0.0
PGK1,0.0
TAL1,0.0
ENO1,0.0
CDC19,0.0
HSP104,0.0
SIS1,0.0
HSP78,0.0
BTN2,0.0
CUR1,0.0
HSP26,0.0
YJL144W,0.0
HSP82,0.0
HSC82,0.0
AHA1,0.0
STI1,0.0
SBA1,0.0
CPR6,0.0
FES1,0.0
LEU4,0.0
ACO1,0.0
TOM40,0.0
YMR31,0.0
TOM22,0.0
MSC1,0.0
TSL1,0.0
RTC3,0.0
GLC3,0.0
MBF1,0.0
